State,Area(Km2),Population,Official Languages,Districts,Population Density,Literacy Rate%,Urban Pop.,Sex Ratio,Year,Tree Cover,Location
Andhra Pradesh,"160,205 km2","4,93,78,776",Telugu,13,394 /km2,67.66,33.49,992,1956,8224,S
Arunachal Pradesh,"83,743 km2","13,82,611",English,17,17 /km2,66.95,22.67,920,1987,2610,E
Assam,"78,438 km2","3,11,69,272",Assamese,33,397 /km2,73.18,14.08,954,1975,3922,E
Bihar,"94,163 km2","10,38,04,637",Hindi,38,"1,102 /km2",63.82,11.3,916,1935,4570,NE
Chhattisgarh,"135,191 km2","2,55,40,196",Chhattisgarhi,27,189 /km2,71.04,23.24,991,2000,4535,E
Delhi,"11,297 km2","1,67,53,235","Hindi,",9,"11,297 /km2",86.34,97.5,866,1952,23,N
Goa,"3,702 km2","14,57,723",Konkani,2,394 /km2,87.4,62.17,968,1961,NA,W
Gujarat,"196,024 km2","6,03,83,628",Gujarati,33,308 /km2,79.31,42.58,918,1960,11591,W
Haryana,"44,212 km2","2,53,53,081",Haryanvi,22,573 /km2,76.64,24.25,877,1966,1333,N
Himachal Pradesh,"55,673 km2","68,56,509",Hindi,12,123 /km2,83.78,10.04,974,1971,2303,N
Jammu and,"222,236 km2","1,25,48,926",Urdu,22,56 /km2,68.74,27.21,883,1948,2728,N
Jharkhand,"79,714 km2","3,29,66,238",Hindi,24,414 /km2,67.63,24.05,947,2000,3358,NE
Karnataka,"191,791 km2","6,11,30,704",Kannada,30,319 /km2,75.6,38.57,968,1956,6090,S
Kerala,"38,863 km2","3,33,87,677",Malayalam,14,859 /km2,93.91,47.72,1084,1956,3803,S
Madhya Pradesh,"308,245 km2","7,25,97,565",Hindi,51,236 /km2,70.63,27.63,930,1956,NA,C
Maharashtra,"295,245 km2","11,23,72,972",Marathi,36,365 /km2,82.91,45.23,946,1960,11806,W
Manipur,"22,327 km2","27,21,756",Meiteilon (Manipuri),16,122 /km2,79.85,20.21,987,1947,606,E
Meghalaya,"22,429 km2","29,64,007",English,11,132 /km2,75.48,20.08,986,1970,1876,E
Mizoram,"21,081 km2","10,91,014",Mizo,8,52 /km2,91.58,51.51,975,1972,464,E
Nagaland,"16,579 km2","19,80,602",English,11,119 /km2,80.11,28.97,931,1963,1037,E
Odisha,"155,707 km2","4,19,47,358",Oriya,30,269 /km2,73.45,16.68,978,1948,5136,SE
Punjab,"50,362 km2","2,77,04,236",Punjabi,22,550 /km2,76.68,37.49,893,1966,1635,N
Rajasthan,"342,239 km2","6,86,21,012",Hindi,33,201 /km2,67.06,24.89,NA,1948,8373,NW
Sikkim,"7,096 km2","6,07,688",Nepali,4,86 /km2,82.2,24.97,889,1975,128,E
Tamil Nadu,"130,058 km2","7,21,38,958",Tamil,32,555 /km2,80.33,48.45,995,1969,4590,S
Tripura,"10,486 km2","36,71,032",Bengali,8,350 /km2,NA,26.18,961,1956,576,E
Uttar Pradesh,"240,928 km2","19,95,81,477",Hindi,75,828 /km2,69.72,22.28,908,1937,7082,NE
Uttarakhand,"45,362 km2","1,01,16,752",Hindi,13,189 /km2,79.63,30.55,963,2000,1966,N
West Bengal,"88,752 km2","9,13,47,736",Bengali,23,"1,029 /km2",77.08,31.89,947,1947,4018,E
